assetid,assetref,assetdesc,assetgroup,prodgroup,company,city,department,building,room,purdate,purprice,depterm,assetage,tddep,bookvalue,opstatus,maintstatus
1,MLGPW/OPS/270/39,Air Conditioner - Free Standing,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,104,2014/03/22,1200,4,1288,1057.91,142.09,Operational,In Use
2,MLGPW/SEC/270/005,Air Conditioner - Free Standing,Equipment - Office,Payment Equipment,MLGPW,Harare,Administration,Head Office,104,2007/02/22,3816.52,4,1323,3456.03,360.49,Operational,In Use
3,MLGPW/SEC/270/006,Air Conditioner - Free Standing,Equipment - Office,Payment Equipment,MLGPW,Harare,Administration,Head Office,104,2007/02/22,3816.52,4,1323,3456.03,360.49,Operational,In Use
4,MLGPW/OPS/255/003,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,105,2004/03/22,1217,4,1298,1081.22,135.78,Operational,In Use
5,MLGPW/ADM/380/003,Angel Water Container,Furniture and Fixtures,Water Containers,MLGPW,Harare,Public Works,Head Office,102,2013/10/21,2486.96,4,1440,2451.21,35.75,Operational,In Use
6,MLGPW/OPS/471/002,Hilux DC 2.8 GD6 4x4,Motor Vehicles,Bakkies,MLGPW,Harare,Rural Development,HQ Parking,Bay 01,2029/10/21,679900,4,1424,662681.45,17218.55,Operational,In Use
7,MLGPW/OPS/471/003,Hilux DC 2.8 GD6 4x4,Motor Vehicles,Bakkies,MLGPW,Harare,Rural Development,HQ Parking,Bay 02,2016/11/21,699067.58,4,1406,672750.87,26316.71,Operational,In Use
8,MLGPW/OPS/471/004,Hilux DC 2.8 GD6 4x4,Motor Vehicles,Bakkies,MLGPW,Harare,Rural Development,HQ Parking,Bay 03,2006/12/21,749169.77,4,1386,710711.36,38458.41,Operational,In Use
9,MLGPW/OPS/470/003,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,MLGPW,Bulawayo,Rural Development,Bulawayo Parking,Bay 100,2026/11/21,579336.65,4,1396,553561.92,25774.73,Operational,In Use
10,MLGPW/OPS/220/002,Generator,Equipment - Office,Payment Equipment,MLGPW,Gweru,Public Works,Gweru Office,A103,1930/09/21,8617.39,4,1453,8570.2,47.19,Operational,In Use
11,MLGPW/ADM/521/001,Defy Microwave,Equipment - Office,Microwave,MLGPW,Harare,Administration,Head Office,104,2001/04/22,4023.85,4,1270,3497.8,526.05,Operational,In Use
