Contract,Client,DateOpen,Year,Month,Principal,IntratePr,IntPr,AdminFee,Stamps,Instalment,Total,DateFI,DateLI,Purpose,Period,CollectionMethod,LoanSizeCode,RepaymentCode,Paid,Balance,Status,Decision,Reason
6059,3,2023/01/28,2023,1,3000,0.28,840,0,12,3852.28,3852.28,2023/02/27,2023/02/27,Consumption,1,Cash Collection,B,A,3852.28,0,Paid,Approved,Qualified
6042,9,2023/01/27,2023,1,3000,0.28,840,0,12,3852.28,3852.28,2023/02/26,2023/02/26,Consumption,1,Cash Collection,B,A,3852.28,0,Paid,Approved,Qualified
6052,25,2023/01/28,2023,1,4500,0.28,1260,0,0,5760.28,5760.28,2023/02/27,2023/02/27,Education,1,Cash Collection,B,A,5760.28,0,Paid,Approved,Qualified
6030,31,2023/01/20,2023,1,1000,0.28,280,0,2,1282.28,1282.28,2023/02/19,2023/02/19,Consumption,1,Cash Collection,A,A,1282.28,0,Paid,Approved,Qualified
6031,32,2023/01/20,2023,1,1000,0.28,280,0,2,1282.28,1282.28,2023/02/19,2023/02/19,Consumption,1,Cash Collection,A,A,1282.28,0,Paid,Approved,Qualified
6058,35,2023/01/28,2023,1,2500,0.28,700,0,12,3212.28,3212.28,2023/02/27,2023/02/27,Consumption,1,Cash Collection,B,A,3212.28,0,Paid,Approved,Qualified
6062,37,2023/01/28,2023,1,1800,0.28,504,0,6,2310.28,2310.28,2023/02/27,2023/02/27,Consumption,1,Cash Collection,B,A,2310.28,0,Paid,Approved,Qualified
6028,46,2023/01/20,2023,1,3500,0.28,980,0,18,4498.28,4498.28,2023/02/19,2023/02/19,Consumption,1,Cash Collection,B,A,4498.28,0,Paid,Approved,Qualified
6054,49,2023/01/28,2023,1,1000,0.28,280,0,2,1282.28,1282.28,2023/02/27,2023/02/27,Education,1,Cash Collection,A,A,1282.28,0,Paid,Approved,Qualified
6045,57,2023/01/28,2023,1,5500,0.28,1540,0,0,7040.28,7040.28,2023/02/27,2023/02/27,Consumption,1,Cash Collection,C,B,7040.28,0,Paid,Approved,Qualified
6035,66,2023/01/21,2023,1,1000,0.28,280,0,2,1282.28,1282.28,2023/02/20,2023/02/20,Consumption,1,Cash Collection,A,A,1282.28,0,Paid,Approved,Qualified
6050,76,2023/01/28,2023,1,4000,0.28,1120,0,18,5138.28,5138.28,2023/02/27,2023/02/27,Education,1,Cash Collection,B,A,5138.28,0,Paid,Approved,Qualified
6008,77,2023/01/03,2023,1,1000,0.28,280,0,2,1282.28,1282.28,2023/02/02,2023/02/02,Consumption,1,Cash Collection,A,A,1282.28,0,Paid,Approved,Qualified
6061,78,2023/01/28,2023,1,1000,0.28,280,0,2,1282.28,1282.28,2023/02/27,2023/02/27,Consumption,1,Cash Collection,A,A,1282.28,0,Paid,Approved,Qualified
6044,85,2023/01/28,2023,1,1600,0.28,448,0,6,2054.28,2054.28,2023/02/27,2023/02/27,Consumption,1,Cash Collection,B,A,2054.28,0,Paid,Approved,Qualified
6060,93,2023/01/28,2023,1,1500,0.28,420,0,6,1926.28,1926.28,2023/02/27,2023/02/27,Consumption,1,Cash Collection,B,A,1926.28,0,Paid,Approved,Qualified
6027,107,2023/01/20,2023,1,3500,0.28,980,0,18,4498.28,4498.28,2023/02/19,2023/02/19,Consumption,1,Cash Collection,B,A,4498.28,0,Paid,Approved,Qualified
6057,110,2023/01/28,2023,1,3000,0.28,840,0,12,3852.28,3852.28,2023/02/27,2023/02/27,Education,1,Cash Collection,B,A,3852.28,0,Paid,Approved,Qualified
6093,117,2023/02/28,2023,2,1200,0.28,336,0,2,1538.28,1538.28,2023/03/30,2023/03/30,Consumption,1,Cash Collection,B,A,1538.28,0,Paid,Approved,Qualified
6080,121,2023/02/18,2023,2,4000,0.28,1120,0,18,5138.28,5138.28,2023/03/20,2023/03/20,Consumption,1,Cash Collection,B,A,5138.28,0,Paid,Approved,Qualified
6088,122,2023/02/23,2023,2,800,0.28,224,0,2,1026.28,1026.28,2023/03/25,2023/03/25,Consumption,1,Cash Collection,A,A,1026.28,0,Paid,Approved,Qualified
6073,124,2023/02/04,2023,2,5000,0.28,1400,0,0,6400.28,6400.28,2023/03/06,2023/03/06,Consumption,1,Cash Collection,B,A,6400.28,0,Paid,Approved,Qualified
6081,138,2023/02/18,2023,2,2000,0.28,560,0,6,2566.28,2566.28,2023/03/20,2023/03/20,Consumption,1,Cash Collection,B,A,2566.28,0,Paid,Approved,Qualified
6127,147,2023/03/21,2023,3,1500,0.28,420,0,6,1926.28,1926.28,2023/04/20,2023/04/20,Consumption,1,Cash Collection,B,A,1926.28,0,Paid,Approved,Qualified
6150,154,2023/03/31,2023,3,3000,0.28,840,0,12,3852.28,3852.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,3852.28,0,Paid,Approved,Qualified
6134,157,2023/03/24,2023,3,5500,0.28,1540,0,0,7040.28,7040.28,2023/04/23,2023/04/23,Consumption,1,Cash Collection,C,B,7040.28,0,Paid,Approved,Qualified
6144,159,2023/03/31,2023,3,2500,0.28,700,0,12,3212.28,3212.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,3212.28,0,Paid,Approved,Qualified
6149,164,2023/03/31,2023,3,2500,0.28,700,0,12,3212.28,3212.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,3212.28,0,Paid,Approved,Qualified
6156,170,2023/03/31,2023,3,6500,0.28,1820,0,0,8320.28,8320.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,C,B,8320.28,0,Paid,Approved,Qualified
6131,173,2023/03/22,2023,3,3000,0.28,840,0,12,3852.28,3852.28,2023/04/21,2023/04/21,Consumption,1,Cash Collection,B,A,3852.28,0,Paid,Approved,Qualified
6136,184,2023/03/24,2023,3,6500,0.28,1820,0,0,8320.28,8320.28,2023/04/23,2023/04/23,Consumption,1,Cash Collection,C,B,8320.28,0,Paid,Approved,Qualified
6143,209,2023/03/30,2023,3,2500,0.28,700,0,12,3212.28,3212.28,2023/04/29,2023/04/29,Consumption,1,Cash Collection,B,A,3212.28,0,Paid,Approved,Qualified
6152,217,2023/03/31,2023,3,2500,0.28,700,0,12,3212.28,3212.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,3212.28,0,Paid,Approved,Qualified
