DateKey,Date,WeekDayNum,WeekDayName,MonthDayNum,YearDayNum,YearWeekNum,MonthName,YearMonthNum,CalQuarterNum,CalSemesterNum,FiscalQuarterNum,FiscalSemesterNum,YearNum,FiscalYear,MonthYear,MonthYearLabel,QuarterYear,QuarterYearLabel
20200101,2020/01/01,4,Wednesday,1,1,1,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200102,2020/01/02,5,Thursday,2,2,1,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200103,2020/01/03,6,Friday,3,3,1,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200104,2020/01/04,7,Saturday,4,4,1,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200105,2020/01/05,1,Sunday,5,5,2,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200106,2020/01/06,2,Monday,6,6,2,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200107,2020/01/07,3,Tuesday,7,7,2,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200108,2020/01/08,4,Wednesday,8,8,2,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200109,2020/01/09,5,Thursday,9,9,2,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200110,2020/01/10,6,Friday,10,10,2,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200111,2020/01/11,7,Saturday,11,11,2,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200112,2020/01/12,1,Sunday,12,12,3,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200113,2020/01/13,2,Monday,13,13,3,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200114,2020/01/14,3,Tuesday,14,14,3,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200115,2020/01/15,4,Wednesday,15,15,3,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200116,2020/01/16,5,Thursday,16,16,3,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200117,2020/01/17,6,Friday,17,17,3,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200118,2020/01/18,7,Saturday,18,18,3,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200119,2020/01/19,1,Sunday,19,19,4,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200120,2020/01/20,2,Monday,20,20,4,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200121,2020/01/21,3,Tuesday,21,21,4,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200122,2020/01/22,4,Wednesday,22,22,4,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200123,2020/01/23,5,Thursday,23,23,4,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200124,2020/01/24,6,Friday,24,24,4,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200125,2020/01/25,7,Saturday,25,25,4,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200126,2020/01/26,1,Sunday,26,26,5,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200127,2020/01/27,2,Monday,27,27,5,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200128,2020/01/28,3,Tuesday,28,28,5,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200129,2020/01/29,4,Wednesday,29,29,5,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200130,2020/01/30,5,Thursday,30,30,5,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200131,2020/01/31,6,Friday,31,31,5,January,1,1,1,3,2,2020,2020,202001,20-Jan,20201,Q1 - 2020
20200201,2020/02/01,7,Saturday,1,32,5,February,2,1,1,3,2,2020,2020,202002,20-Feb,20201,Q1 - 2020
20200202,2020/02/02,1,Sunday,2,33,6,February,2,1,1,3,2,2020,2020,202002,20-Feb,20201,Q1 - 2020
20200203,2020/02/03,2,Monday,3,34,6,February,2,1,1,3,2,2020,2020,202002,20-Feb,20201,Q1 - 2020
20200204,2020/02/04,3,Tuesday,4,35,6,February,2,1,1,3,2,2020,2020,202002,20-Feb,20201,Q1 - 2020
20200205,2020/02/05,4,Wednesday,5,36,6,February,2,1,1,3,2,2020,2020,202002,20-Feb,20201,Q1 - 2020
20200206,2020/02/06,5,Thursday,6,37,6,February,2,1,1,3,2,2020,2020,202002,20-Feb,20201,Q1 - 2020
20200207,2020/02/07,6,Friday,7,38,6,February,2,1,1,3,2,2020,2020,202002,20-Feb,20201,Q1 - 2020
