Ref,CensusYear,Category,Region,RegionName,Grade,GradeName,Age,Total,Male,Female
1,2015,Orphans,11,//Kharas,209,Grade  9,16,78,32,46
2,2015,Orphans,11,//Kharas,100,Pre-Primary,5,7,5,2
3,2015,Orphans,11,//Kharas,210,Grade 10,20,8,6,2
4,2015,Orphans,11,//Kharas,210,Grade 10,19,22,11,11
5,2015,Orphans,11,//Kharas,210,Grade 10,18,56,28,28
6,2015,Orphans,11,//Kharas,210,Grade 10,17,94,33,61
7,2015,Orphans,11,//Kharas,210,Grade 10,16,63,26,37
8,2015,Orphans,11,//Kharas,210,Grade 10,15,10,4,6
9,2015,Orphans,11,//Kharas,209,Grade  9,20,2,2,0
10,2015,Orphans,11,//Kharas,210,Grade 10,22,1,1,0
11,2015,Orphans,11,//Kharas,209,Grade  9,17,63,27,36
12,2015,Orphans,11,//Kharas,211,Grade 11,16,4,1,3
13,2015,Orphans,11,//Kharas,209,Grade  9,15,70,34,36
14,2015,Orphans,11,//Kharas,209,Grade  9,14,11,5,6
15,2015,Orphans,11,//Kharas,208,Grade  8,21,1,1,0
16,2015,Orphans,11,//Kharas,208,Grade  8,18,6,3,3
17,2015,Orphans,11,//Kharas,208,Grade  8,17,31,20,11
18,2015,Orphans,11,//Kharas,208,Grade  8,16,57,22,35
19,2015,Orphans,11,//Kharas,208,Grade  8,15,100,55,45
20,2015,Orphans,11,//Kharas,208,Grade  8,14,82,38,44
21,2015,Orphans,11,//Kharas,208,Grade  8,13,6,3,3
22,2015,Orphans,11,//Kharas,207,Grade  7,18,1,1,0
23,2015,Orphans,11,//Kharas,209,Grade  9,18,25,15,10
24,2015,Orphans,11,//Kharas,212,Grade 12,22,1,1,0
25,2015,Orphans,11,//Kharas,401,Special Education Class,8,2,1,1
26,2015,Orphans,11,//Kharas,401,Special Education Class,13,2,1,1
27,2015,Orphans,11,//Kharas,210,Grade 10,21,4,2,2
28,2015,Orphans,11,//Kharas,401,Special Education Class,10,2,1,1
29,2015,Orphans,11,//Kharas,207,Grade  7,15,54,33,21
30,2015,Orphans,11,//Kharas,212,Grade 12,21,6,4,2
31,2015,Orphans,11,//Kharas,212,Grade 12,20,4,2,2
32,2015,Orphans,11,//Kharas,212,Grade 12,19,31,13,18
33,2015,Orphans,11,//Kharas,212,Grade 12,18,31,13,18
34,2015,Orphans,11,//Kharas,212,Grade 12,17,9,3,6
